Key,en,es,ar,bn,tr
Admin Role,Admin Role,Rol del Administrador,دور المسؤول,অ্যাডমিনের ভূমিকা,Yönetici Rolü
Role Permission,Role Permission,Permiso de Rol,أذونة الدور,ভূমিকা অনুমতি,Rol İzni
Email To Admin,Email To Admin,Enviar Correo Electrónico al Administrador,البريد إلى المسؤول,অ্যাডমিনকে ইমেল করুন,Yöneticiye E-posta
Web Settings,Web Settings,Configuración del Sitio Web,إعدادات الويب,ওয়েব সেটিংস,Web Ayarları
Basic Settings,Basic Settings,Configuración Básica,الإعدادات الأساسية,মৌলিক সেটিংস,Temel Ayarlar
Setup SEO,Setup SEO,Configurar SEO,إعداد SEO,এসইও সেটআপ করুন,SEO Kurulumu
App Settings,App Settings,Configuración de la Aplicación,إعدادات التطبيق,অ্যাপ সেটিংস,Uygulama Ayarları
Splash Screen,Splash Screen,Pantalla de Inicio,شاشة البداية,স্প্ল্যাশ স্ক্রিন,Açılış Ekranı
Default,Default,Predeterminado,الافتراضي,ডিফল্ট,Varsayılan
Interface Panel,Interface Panel,Panel de Interfaz,لوحة الواجهة,ইন্টারফেস প্যানেল,Arayüz Paneli
Onboard Screen,Onboard Screen,Pantalla de Bienvenida,شاشة التوجيه,অনবোর্ড স্ক্রীন,Yerleşik Ekran
App URLs,App URLs,URLs de la Aplicación,روابط التطبيق,অ্যাপ URL,Uygulama URL'leri
Languages,Languages,Idiomas,اللغات,ভাষা,Diller
Money Out Settings,Money Out Settings,Configuración de Retiro de Dinero,إعدادات السحب,মানি আউট সেটিংস,Para Çekme Ayarları
Verification Center,Verification Center,Centro de Verificación,مركز التحقق,যাচাইকরণ কেন্দ্র,Doğrulama Merkezi
Setup Email,Setup Email,Configuración de Correo Electrónico,إعدادات البريد الإلكتروني,ইমেল সেটআপ করুন,E-posta Kurulumu
Email Method,Email Method,Método de Correo Electrónico,طريقة البريد الإلكتروني,ইমেইল পদ্ধতি,E-posta Yöntemi
Setup KYC,Setup KYC,Configuración de KYC,إعداد KYC,KYC সেটআপ করুন,KYC Kurulumu
Setup Web Content,Setup Web Content,Contenido Web,إعداد محتوى الويب,ওয়েব কন্টেন্ট সেটআপ করুন,Web İçeriği Kurulumu
Setup Section,Setup Section,Configuración de Sección,إعداد القسم,সেটআপ বিভাগ,Kurulum Bölümü
Banner Section,Banner Section,Sección de Banner,القسم الرئيسي,ব্যানার বিভাগ,Banner Bölümü
Brand Section,Brand Section,Sección de Marca,القسم العلامي,ব্র্যান্ড বিভাগ,Marka Bölümü
About Us Section,About Us Section,Sección Acerca de Nosotros,قسم حولنا,আমাদের সম্পর্কে বিভাগ,Hakkımızda Bölümü
Services Section,Services Section,Sección de Servicios,قسم الخدمات,সেবা বিভাগ,Hizmetler Bölümü
Feature Section,Feature Section,Sección de Características,قسم الميزات,বৈশিষ্ট্য বিভাগ,Özellik Bölümü
Clients Feedback,Clients Feedback,Comentarios de Clientes,تقييمات العملاء,গ্রাহকদের প্রতিক্রিয়া,Müşteri Geri Bildirimleri
Announcements,Announcements,Anuncios,الإعلانات,ঘোষণা,Duyurular
How It Work Section,How It Work Section,Cómo Funciona la Sección,كيفية العمل,কিভাবে এটা কাজ বিভাগ,Nasıl Çalışır Bölümü
About Page Section,About Page Section,Sección Acerca de Nosotros,قسم حول الصفحة,পৃষ্ঠা বিভাগ সম্পর্কে,Hakkımızda Sayfası Bölümü
Contact US Section,Contact US Section,Sección de Contacto,قسم اتصل بنا,মার্কিন বিভাগে যোগাযোগ করুন,Bize Ulaşın Bölümü
Footer Section,Footer Section,Sección de Pie de Página,قسم التذييل,ফুটার বিভাগ,Altbilgi Bölümü
Setup Pages,Setup Pages,Configuración de Páginas,إعداد الصفحات,সেটআপ পেজ,Kurulum Sayfaları
Extensions,Extensions,Extensiones,الامتدادات,এক্সটেনশন,Uzantılar
Useful Links,Useful Links,Enlaces Útiles,روابط مفيدة,দরকারী লিঙ্ক,Faydalı Bağlantılar
Payment Methods,Payment Methods,Métodos de Pago,وسائل الدفع,পেমেন্ট পদ্ধতি,Ödeme Yöntemleri
Automatic,Automatic,Automático,تلقائي,স্বয়ংক্রিয়,Otomatik
Manual,Manual,Manual,يدوي,ম্যানুয়াল,Manuel
Money Out,Money Out,Retiro de Dinero,سحب المال,টাকা আউট,Para Çıkışı
Notification,Notification,Notificación,الإشعار,বিজ্ঞপ্তি,Bildiri
Push Notification,Push Notification,Notificación Push,إشعار الدفع,পুশ বিজ্ঞপ্তি,Anında Bildirim
Setup Notification,Setup Notification,Configurar Notificación,إعداد الإشعار,সেটআপ বিজ্ঞপ্তি,Kurulum Bildirimi
Send Notification,Send Notification,Enviar Notificación,إرسال الإشعار,বিজ্ঞপ্তি পাঠান,Bildirim Gönder
Bonus,Bonus,Bono,مكافأة,বোনাস,Bonus
GDPR Cookie,GDPR Cookie,GDPR Cookies,GDPR الكوكيز,জিডিপিআর কুকি,GDPR Çerezi
Server Info,Server Info,Información del Servidor,معلومات الخادم,সার্ভার তথ্য,Sunucu Bilgileri
Clear Cache,Clear Cache,Limpiar Caché,مسح الذاكرة المؤقتة,ক্যাশে সাফ করুন,Önbelleği Temizle
Total Add Money Request,Total Add Money Request,Solicitudes Totales de Agregar Dinero,إجمالي طلب إيداع الأموال,মোট অর্থ যোগ করুন অনুরোধ,Toplam Para Ekleme Talebi
Add Money Balance,Add Money Balance,Saldo de Agregar Dinero,رصيد إيداع الأموال,টাকা ব্যালেন্স যোগ করুন,Para Bakiyesi Ekle
Money Out Request,Money Out Request,Solicitudes Totales de Retiro de Dinero,طلب سحب الأموال,মানি আউট অনুরোধ,Para Çekme Talebi
Money Out Balance,Money Out Balance,Saldo de Retiro de Dinero,رصيد سحب الأموال,মানি আউট ব্যালেন্স,Para Çıkış Bakiyesi
User Active Tickets,User Active Tickets,Tickets Activos de Usuarios,تذاكر المستخدم النشطة,ব্যবহারকারী সক্রিয় টিকিট,Kullanıcı Aktif Biletleri
Total Users,Total Users,Total de Usuarios,مجموع المستخدمين,মোট ব্যবহারকারী,Toplam Kullanıcılar
Total User Invest,Total User Invest,Inversión Total de Usuarios,مجموع الاستثمارات للمستخدمين,মোট ব্যবহারকারী বিনিয়োগ,Toplam Kullanıcı Yatırımı
Users Total Profit,Users Total Profit,Ganancias Totales de Usuarios,إجمالي أرباح المستخدمين,ব্যবহারকারীদের মোট লাভ,Kullanıcıların Toplam Karı
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico Mensual de Agregar Dinero,مخطط إضافة الأموال الشهري,মাসিক অ্যাড মানি চার্ট,Aylık Para Ekleme Tablosu
Revenue Chart,Revenue Chart,Gráfico de Ingresos,مخطط الإيرادات,রাজস্ব চার্ট,Gelir Tablosu
Yearly Investment Analytics,Yearly Investment Analytics,Analítica de Inversión Anual,تحليل الاستثمار السنوي,বার্ষিক বিনিয়োগ বিশ্লেষণ,Yıllık Yatırım Analitiği
User Analytics,User Analytics,Analítica de Usuarios,تحليل المستخدم,ব্যবহারকারী বিশ্লেষণ,Kullanıcı Analitiği
Growth,Growth,Crecimiento,نمو,বৃদ্ধি,Büyüme
Latest Add Money,Latest Add Money,Últimos Registros de Agregar Dinero,أحدث إضافة للأموال,সর্বশেষ টাকা যোগ করুন,En Son Para Ekleme
Download App,Download App,Descargar la Aplicación,تحميل التطبيق,অ্যাপ ডাউনলোড করুন,Uygulamayı İndir
Login,Login,Iniciar Sesión,تسجيل الدخول,লগইন করুন,Giriş yapmak
Contact,Contact,Contacto,اتصال,যোগাযোগ,Temas etmek
Announcement,Announcement,Anuncios,إعلان,ঘোষণা,Duyuru
Plan,Plan,Plan,خطة,পরিকল্পনা,Plan
About,About,Acerca de,حول,সম্পর্কে,Hakkında
Stay connected with us for regular updates,Stay connected with us for regular updates,Mantente conectado con nosotros para actualizaciones regulares,ابق على اتصال معنا للتحديثات العادية,নিয়মিত আপডেট পেতে আমাদের সাথে যুক্ত থাকুন,Düzenli güncellemeler için bizimle bağlantıda kalın
Contact Us,Contact Us,Contáctanos,اتصل بنا,আমাদের সাথে যোগাযোগ করুন,Bize Ulaşın
Layout Mode,Layout Mode,Modo de Diseño,وضع الخطة,লেআউট মোড,Düzen Modu
Topbar Color,Topbar Color,Color de la Barra Superior,لون الشريط العلوي,টপবার রঙ,Üst Çubuk Rengi
Dark Mode,Dark Mode,Modo Oscuro,الوضع الداكن,ডার্ক মোড,Karanlık Mod
Light Mode,Light Mode,Modo Claro,الوضع الفاتح,হালকা মোড,Işık Modu
Sidebar Color,Sidebar Color,Color de la Barra Lateral,لون الشريط الجانبي,সাইডবার রঙ,Kenar Çubuğu Rengi
Min Sidebar Color,Min Sidebar Color,Color Mínimo de la Barra Lateral,لون الشريط الجانبي الدني,মিন সাইডবার রঙ,Min Kenar Çubuğu Rengi
Direction,Direction,Dirección,الاتجاه,দিকনির্দেশনা,Yön
RTL Support,RTL Support,Compatibilidad con RTL (Derecha a Izquierda),دعم RTL,RTL সমর্থন,RTL Desteği
total Refers,Total Refers,Total de referencias,إجمالي المراجع,মোট রেফার,Toplam Referanslar
total Invested,Total Invested,Total invertida,إجمالي الاستثمار,মোট বিনিয়োগ,Toplam Yatırım
current Position,Current Position,Posición actual,الموقف الحالى,বর্তমান অবস্থান,Mevcut Pozisyon
refer Code,Refer Code,Código de referencia,رمز الرجوع,রেফার কোড,Referans Kodu
refer Link,Refer Link,Enlace de referencia,الرجوع الرابط,লিঙ্ক পড়ুন,Referans Bağlantısı
referral User,Referral User,Usuario de referencia,مستخدم الإحالة,রেফারেল ব্যবহারকারী,Yönlendirme Kullanıcısı
requirement,Requirement,Requisito,متطلبات,প্রয়োজনীয়তা,Gereklilik
refer,Refer,Referirse,يشير إلى,উল্লেখ করুন,Bahsetmek
invest,Invest,Invertir,يستثمر,বিনিয়োগ করুন,Yatırım
commission,Commission,Comisión,عمولة,কমিশন,Komisyon
per Refer,Per Refer,Por referencia,لكل مرجع,প্রতি রেফার,Referans Başına
account Label,Account Label,Etiqueta de cuenta,تسمية الحساب,অ্যাকাউন্ট লেবেল,Hesap Etiketi
my Status,My Status,Mi estado,حالتي,আমার স্ট্যাটাস,Durumum
view All,View All,Ver todo,عرض الكل,সব দেখুন,Tümünü Görüntüle
refer Friend,Refer Friend,Recomendar amiga,إحالة صديق,বন্ধু রেফার করুন,Arkadaşını Tavsiye Et
refer Friends,Refer Friends,Recomendar amigas,إحالة الأصدقاء,বন্ধুদের উল্লেখ করুন,Arkadaşlarınızı Önerin
copy Referral Code,Copy Referral Code,Copiar código de referencia,انسخ رمز الإحالة,রেফারেল কোড কপি করুন,Yönlendirme Kodunu Kopyala
text Copied To Clipboard,Text Copied To Clipboard,Texto copiado al portapapeles,تم نسخ النص إلى الحافظة,ক্লিপবোর্ডে পাঠ্য অনুলিপি করা হয়েছে৷,Metin Panoya Kopyalandı
optionals,Optionals,Opcionales,خيارات,ঐচ্ছিক,İsteğe bağlılar
Balance Type,Balance Type,Tipo de saldo,نوع الرصيد,ব্যালেন্স টাইপ,Bakiye Türü
server.error.default,Something went wrong! Please try again,,,,
security.google.2fa.settings.update,Security Setting Updated Successfully!,,,,
security.google.2fa.verification.warning,Please verify 2FA,,,,
user.auth.authorize.verify-google-2fa,Authorize Google Two Factor,,,,
admin.page.title.google.2fa.settings,2FA Authenticaiton,,,,
